City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Neuquén,-38.9516,-68.0591,78.69,27,0,9.22,AR,1645158021
Broome,42.2506,-75.833,56.01,85,100,18.99,US,1645158535
Pundaguitan,6.3711,126.1689,79.92,79,98,17.38,PH,1645158535
Sioux Lookout,50.1001,-91.917,-10.82,76,0,2.3,CA,1645158535
Maningrida,-12.0667,134.2667,89.96,57,79,9.1,AU,1645158536
Villeta,5.0089,-74.4723,74.01,91,64,3.09,CO,1645158536
Mariehamn,60.0973,19.9348,28.26,86,100,10.36,AX,1645158249
Sistranda,63.7256,8.834,35.56,81,100,10.2,NO,1645158537
Acapulco de Juárez,16.8634,-99.8901,78.62,78,75,4.61,MX,1645158025
Arecibo,18.4724,-66.7157,75.11,91,15,14.83,PR,1645158537
Nirmāli,26.3167,86.5833,67.6,46,0,4.32,IN,1645158538
Bangui,4.3612,18.555,75.38,78,20,0.0,CF,1645158538
Belaya Gora,68.5333,146.4167,-21.55,98,77,1.43,RU,1645158539
Phu Ly,20.5411,105.9139,70.63,94,100,2.53,VN,1645158539
Tambopata,-12.7333,-69.1833,72.36,98,88,2.39,PE,1645158540
Mahenge,-8.6833,36.7167,64.6,91,99,0.58,TZ,1645158540
Kokoda,-8.8785,147.7407,84.31,80,66,2.55,PG,1645158540
Atambua,-9.1061,124.8925,82.67,69,56,2.06,ID,1645158430
Geraldton,-28.7667,114.6,102.61,8,29,14.97,AU,1645158541
Kloulklubed,7.0419,134.2556,82.9,81,100,17.78,PW,1645158163
Pangai,-19.8,-174.35,82.58,72,21,8.32,TO,1645158170
Krasnosel'kup,65.7,82.4667,8.44,94,100,15.82,RU,1645158542
Yantal',56.8471,105.2542,6.24,85,100,6.33,RU,1645158542
Marawi,7.9986,124.2928,72.64,56,99,7.87,PH,1645158543
Edéa,3.8,10.1333,78.58,93,63,1.77,CM,1645158543
Faya,18.3851,42.4509,53.71,60,2,4.85,SA,1645158544
Huangnihe,43.5583,128.0239,18.05,67,100,1.12,CN,1645158544
Saskylakh,71.9167,114.0833,-21.68,91,61,7.94,RU,1645158544
Kindu,-2.95,25.95,66.56,91,82,2.15,CD,1645158545
Marsh Harbour,26.5412,-77.0636,73.99,88,1,18.25,BS,1645158048
Helong,42.5397,128.9972,25.65,47,100,1.32,CN,1645158545
Lovozero,68.005,35.0117,22.59,95,100,16.44,RU,1645158546
Yeniseysk,58.4497,92.1703,14.41,91,100,7.29,RU,1645158546
Mnogovershinnyy,53.9353,139.9242,8.83,88,100,7.76,RU,1645158547
West Bay,19.3667,-81.4167,78.08,89,10,1.99,KY,1645158547
Bataiporã,-22.2953,-53.2711,78.19,56,100,3.22,BR,1645158548
San Quintín,30.4833,-115.95,57.06,74,0,3.2,MX,1645158548
Ipatovo,45.7181,42.9036,34.45,81,100,8.1,RU,1645158549
Ust-Nera,64.5667,143.2,-12.46,96,61,1.32,RU,1645158549
Myskhako,44.6714,37.7433,46.18,78,75,18.79,RU,1645158550
Harrisonburg,38.4496,-78.8689,65.39,85,100,13.8,US,1645158338
Kaeo,-35.1,173.7833,72.27,55,92,7.61,NZ,1645158550
Shingū,33.7333,135.9833,49.19,40,100,3.15,JP,1645158444
Baruun-Urt,46.6806,113.2792,2.1,71,62,12.62,MN,1645158551
Evensk,61.95,159.2333,10.11,73,100,11.72,RU,1645158551
Rosetta,31.4044,30.4164,53.71,81,77,2.06,EG,1645158552
Chālūs,36.655,51.4204,40.46,93,0,0.0,IR,1645158553
Qorveh,35.1664,47.8045,30.92,79,100,4.0,IR,1645158553
Brae,60.3964,-1.353,39.11,61,73,17.29,GB,1645158553
Nemuro,43.3236,145.575,27.03,62,77,14.25,JP,1645158554
Posse,-14.0931,-46.3694,67.05,91,75,1.97,BR,1645158554
Masuda,34.6667,131.85,46.13,56,75,5.75,JP,1645158555
Totness,5.8833,-56.3167,75.58,85,49,9.15,SR,1645158555
Turinsk,58.0458,63.696,13.39,88,34,7.18,RU,1645158348
Batagay-Alyta,67.8006,130.4114,-14.62,84,88,1.97,RU,1645158556
Paris,48.8534,2.3488,54.1,94,100,17.27,FR,1645158556
Coyhaique,-45.5752,-72.0662,59.61,63,0,4.61,CL,1645158254
Lubango,-14.9172,13.4925,58.24,95,100,2.01,AO,1645158557
Altenburg,50.9833,12.45,42.85,74,40,12.66,DE,1645158557
Vanimo,-2.6741,141.3028,83.98,76,100,6.91,PG,1645158521
Aquiraz,-3.9014,-38.3911,82.18,85,7,5.59,BR,1645158558
Souillac,-20.5167,57.5167,81.36,78,75,17.27,MU,1645158558
Tabas,33.5959,56.9244,49.3,34,49,3.4,IR,1645158559
Sovetskiy,61.3614,63.5842,15.6,95,70,7.07,RU,1645158559
Kalabagh,32.965,71.557,62.33,37,87,2.1,PK,1645158559
Clyde River,70.4692,-68.5914,-32.57,68,0,4.61,CA,1645158560
Gold Coast,-28.0,153.4333,95.77,73,4,13.8,AU,1645158560
Nouakchott,18.0858,-15.9785,69.73,29,100,10.94,MR,1645158561
Srednekolymsk,67.45,153.6833,-22.97,98,100,3.56,RU,1645158561
Wattegama,6.7989,81.4808,85.12,59,69,5.73,LK,1645158562
Mbanza-Ngungu,-5.25,14.8667,67.77,97,98,3.36,CD,1645158562
São Gabriel da Cachoeira,-0.1303,-67.0892,72.0,99,100,1.05,BR,1645158562
Lilongwe,-13.9669,33.7873,68.2,94,75,3.44,MW,1645158563
Inhambane,-23.865,35.3833,78.78,83,40,6.91,MZ,1645158533
Coquimbo,-29.9533,-71.3436,64.13,88,0,2.3,CL,1645158395
Puri,19.8,85.85,77.52,62,8,1.92,IN,1645158564
Corn Island,12.1694,-83.0418,79.57,78,71,16.82,NI,1645158564
Bac Lieu,9.285,105.7244,86.45,60,58,13.94,VN,1645158565
Mazagão,-0.115,-51.2894,77.05,97,51,3.98,BR,1645158565
Pacific Grove,36.6177,-121.9166,55.08,77,0,6.91,US,1645158243
Sisimiut,66.9395,-53.6735,-10.35,94,97,6.35,GL,1645158566
Jalu,29.0331,21.5482,49.8,75,4,12.77,LY,1645158567
Rockwall,32.9001,-96.4003,34.36,71,100,18.41,US,1645158512
Krabi,8.0726,98.9105,90.91,71,75,8.05,TH,1645158567
Hanyang,32.1371,105.5126,45.64,54,93,10.0,CN,1645158568
Verkhnedneprovskiy,54.9813,33.3457,32.5,90,100,11.77,RU,1645158568
Auki,-8.7676,160.7034,83.28,78,44,3.13,SB,1645158569
Raudeberg,61.9875,5.1352,36.27,92,99,7.0,NO,1645158569
Roebourne,-20.7833,117.1333,99.75,31,35,6.22,AU,1645158570
Luena,-11.7833,19.9167,62.08,98,100,2.01,AO,1645158256
Santa Maria,-29.6842,-53.8069,68.45,65,53,7.23,BR,1645158570
Mushie,-3.0167,16.9,71.98,94,98,5.03,CD,1645158571
Rāwah,34.4816,41.9093,53.04,52,99,8.7,IQ,1645158571
Dolinsk,47.35,142.8,22.86,73,52,14.14,RU,1645158572
Monrovia,6.3005,-10.7969,78.04,85,53,5.28,LR,1645158572
Huarmey,-10.0681,-78.1522,71.65,84,100,7.02,PE,1645158146
Dubbo,-32.25,148.6167,89.73,19,5,10.36,AU,1645158068
West Wendover,40.7391,-114.0733,35.51,47,75,1.88,US,1645158573
Whitehaven,54.549,-3.5841,41.65,88,100,15.99,GB,1645158573
Anadyr,64.75,177.4833,-7.01,76,5,20.13,RU,1645158574
Christchurch,-43.5333,172.6333,79.48,53,21,13.8,NZ,1645158574
Diffa,13.3154,12.6113,68.11,13,4,10.8,NE,1645158574
Khorinsk,52.1657,109.7726,-0.38,78,37,3.69,RU,1645158575
Tabou,4.423,-7.3528,77.45,88,86,6.15,CI,1645158575
Magadan,59.5667,150.8,3.63,72,72,10.45,RU,1645158318
Adrar,20.5022,-10.0711,60.93,8,99,10.16,MR,1645158576
Douentza,14.9951,-2.9517,69.94,19,99,6.22,ML,1645158576
Richards Bay,-28.783,32.0377,71.11,86,100,5.5,ZA,1645158577
Burladingen,48.2833,9.1167,41.83,74,97,5.39,DE,1645158577
Bulgan,48.8125,103.5347,3.88,79,28,3.06,MN,1645158578
Baijiantan,45.6333,85.1833,9.79,85,92,7.9,CN,1645158578
Ust-Maya,60.4167,134.5333,-10.41,87,93,0.81,RU,1645158579
Tver',56.8619,35.8931,34.29,98,100,13.31,RU,1645158517
